num_adults,num_children,days_before_plan,trip_duration,distance,origin_enc,destination_enc,event_type_enc
6,1,35,6,5837.819961979759,166,178,1
3,1,107,21,6525.974830219062,81,259,0
2,0,164,3,478.5795163902355,18,50,0
1,0,1,3,1511.7723918299248,18,20,0
4,0,19,6,2941.8669478572538,61,26,0
1,0,3,0,12525.42632848183,18,213,0
2,0,270,2,505.8518329547636,203,257,1
2,0,46,0,825.3648636501978,89,13,1
2,0,166,11,1340.6446776243747,73,197,1
1,0,4,3,741.8813643635798,89,138,1
1,0,17,0,1208.0542127999213,166,182,1
1,0,55,10,7588.763398902755,18,15,0
2,0,47,0,7087.160305649924,18,53,0
1,0,32,13,2112.75823321251,166,14,0
2,0,7,0,453.5303422899179,64,25,1
1,0,31,0,7422.5273919932215,163,151,1
1,0,0,2,1200.0382152977347,161,182,1
2,0,36,0,810.5622399637498,54,168,1
1,0,26,15,10321.574405833464,200,162,1
1,0,7,0,1955.9955010434244,105,93,1
2,0,274,18,11653.104576147995,9,111,1
2,0,86,5,5739.855409159847,89,267,0
1,0,6,0,4756.902523189573,200,85,1
1,0,1,0,839.7878078629986,166,20,1
5,0,30,15,694.0904176689459,23,109,1
2,0,190,14,11475.044432443585,81,37,1
2,0,60,5,2080.835229997193,18,182,1
1,0,6,0,2075.663460566811,143,235,1
1,0,3,3,5249.66551541897,166,85,1
2,0,33,3,578.311238314878,81,255,1
1,0,33,2,685.903871745599,166,173,1
3,0,90,3,481.9883183830375,73,142,1
1,0,9,9,9846.049404281539,153,186,1
3,0,62,2,523.1100553215556,18,257,1
2,0,161,15,1869.8246648049528,81,118,1
1,0,81,0,18133.598350456334,148,6,1
1,0,3,0,1399.9249281637285,129,141,0
2,0,228,5,910.9484124870188,148,233,1
1,0,19,0,519.0756638822033,200,21,1
2,0,7,2,475.785528758249,73,21,1
1,0,2,1,896.9774493608257,81,260,1
2,0,2,3,9191.435651229902,166,157,1
1,0,291,5,1340.6446776243747,73,197,1
1,0,254,11,8798.974225913844,148,26,1
5,0,207,4,531.2933231958251,200,257,0
3,0,89,0,1855.3732634792686,4,168,1
2,0,320,0,3791.8076154117534,174,32,1
1,0,21,2,1991.0359162732968,89,118,1
2,0,359,0,1784.2469673630374,89,163,1
1,0,1,4,1453.746934378397,34,93,1
2,1,74,7,1658.7858501780258,89,197,1
1,0,40,7,725.6551971414706,89,142,1
1,0,44,4,1439.962892239036,89,117,1
1,0,3,6,5837.819961979759,166,178,1
2,0,23,2,475.785528758249,73,21,1
2,0,2,1,1511.7723918299248,18,20,1
1,0,7,0,669.6288740937291,18,275,1
2,0,68,3,478.5795163902355,45,21,1
1,0,73,4,473.0682745948962,209,100,1
1,0,3,5,1253.1127364963675,81,197,0
2,0,152,36,6710.938643407798,28,84,0
1,0,7,2,692.3866598709859,42,173,1
1,0,21,5,8915.756328948386,18,252,1
2,0,35,4,2196.956894015903,18,18,0
2,2,72,5,1861.5099684128982,73,141,1
