event_type,date_from,date_to,origin,destination,num_adults,num_children,look_on,days_before_plan,trip_duration,distance
search,01/06/17,07/06/17,PAR,NYC,6,1,27/04/17,35,6,5837.819962
book,12/08/17,02/09/17,FRA,WAS,3,1,27/04/17,107,21,6525.97483
book,08/10/17,11/10/17,BER,CGN,2,0,27/04/17,164,3,478.5795164
book,28/04/17,01/05/17,BER,BCN,1,0,27/04/17,1,3,1511.772392
book,16/05/17,22/05/17,DEL,BKK,4,0,27/04/17,19,6,2941.866948
book,02/05/17,02/05/17,BER,SCL,1,0,29/04/17,3,0,12525.42633
search,24/01/18,26/01/18,SXF,VIE,2,0,29/04/17,270,2,505.851833
search,14/06/17,14/06/17,HAM,ARN,2,0,29/04/17,46,0,825.3648637
search,12/10/17,23/10/17,DUS,PMI,2,0,29/04/17,166,11,1340.644678
search,03/05/17,06/05/17,HAM,LGW,1,0,29/04/17,4,3,741.8813644
search,16/05/17,16/05/17,PAR,OPO,1,0,29/04/17,17,0,1208.054213
book,23/06/17,03/07/17,BER,ATL,1,0,29/04/17,55,10,7588.763399
book,15/06/17,15/06/17,BER,CHI,2,0,29/04/17,47,0,7087.160306
book,31/05/17,13/06/17,PAR,ATH,1,0,29/04/17,32,13,2112.758233
search,07/05/17,07/05/17,DLC,BJS,2,0,30/04/17,7,0,453.5303423
search,30/05/17,30/05/17,OSL,MCO,1,0,29/04/17,31,0,7422.527392
search,30/04/17,02/05/17,ORY,OPO,1,0,30/04/17,0,2,1200.038215
search,04/06/17,04/06/17,CPH,MUC,2,0,29/04/17,36,0,810.56224
search,25/05/17,09/06/17,STR,MNL,1,0,29/04/17,26,15,10321.57441
search,06/05/17,06/05/17,IZM,FRA,1,0,29/04/17,7,0,1955.995501
search,28/01/18,15/02/18,AMS,HNL,2,0,29/04/17,274,18,11653.10458
book,24/07/17,29/07/17,HAM,YMQ,2,0,29/04/17,86,5,5739.855409
search,05/05/17,05/05/17,STR,DXB,1,0,29/04/17,6,0,4756.902523
search,30/04/17,30/04/17,PAR,BCN,1,0,29/04/17,1,0,839.7878079
search,28/05/17,12/06/17,BKK,HKT,5,0,28/04/17,30,15,694.0904177
search,04/11/17,18/11/17,FRA,BUE,2,0,28/04/17,190,14,11475.04443
search,28/06/17,03/07/17,BER,OPO,2,0,29/04/17,60,5,2080.83523
search,05/05/17,05/05/17,MOW,STR,1,0,29/04/17,6,0,2075.663461
search,01/05/17,04/05/17,PAR,DXB,1,0,28/04/17,3,3,5249.665515
search,01/06/17,04/06/17,FRA,VCE,2,0,29/04/17,33,3,578.3112383
search,31/05/17,02/06/17,PAR,NCE,1,0,28/04/17,33,2,685.9038717
search,27/07/17,30/07/17,DUS,LON,3,0,28/04/17,90,3,481.9883184
search,07/05/17,16/05/17,NCE,OSA,1,0,28/04/17,9,9,9846.049404
search,28/06/17,30/06/17,BER,VIE,3,0,27/04/17,62,2,523.1100553
search,05/10/17,20/10/17,FRA,IST,2,0,27/04/17,161,15,1869.824665
search,17/07/17,17/07/17,MUC,AKL,1,0,27/04/17,81,0,18133.59835
book,30/04/17,30/04/17,LYS,LIS,1,0,27/04/17,3,0,1399.924928
search,13/12/17,18/12/17,MUC,STN,2,0,29/04/17,228,5,910.9484125
search,18/05/17,18/05/17,STR,BER,1,0,29/04/17,19,0,519.0756639
search,06/05/17,08/05/17,DUS,BER,2,0,29/04/17,7,2,475.7855288
search,02/05/17,03/05/17,FRA,WAW,1,0,30/04/17,2,1,896.9774494
search,01/05/17,04/05/17,PAR,MEX,2,0,29/04/17,2,3,9191.435651
search,14/02/18,19/02/18,DUS,PMI,1,0,29/04/17,291,5,1340.644678
search,02/01/18,13/01/18,MUC,BKK,1,0,23/04/17,254,11,8798.974226
book,16/11/17,20/11/17,STR,VIE,5,0,23/04/17,207,4,531.2933232
search,22/07/17,22/07/17,AGP,MUC,3,0,24/04/17,89,0,1855.373263
search,10/03/18,10/03/18,PTY,BOS,2,0,24/04/17,320,0,3791.807615
search,14/05/17,16/05/17,HAM,IST,1,0,23/04/17,21,2,1991.035916
search,17/04/18,17/04/18,HAM,MOW,2,0,23/04/17,359,0,1784.246967
search,24/04/17,28/04/17,BUH,FRA,1,0,23/04/17,1,4,1453.746934
search,07/07/17,14/07/17,HAM,PMI,2,1,24/04/17,74,7,1658.78585
search,08/06/17,15/06/17,HAM,LON,1,0,29/04/17,40,7,725.6551971
